job_id,job_title,company,location,summary,job_link,company_link,desired_experience,contacts_fetched?
,,,,,,,,
p_b7fbf294aaff81ad,"Director, Talent Acquisition",Paxos,"New York, NY","We are at an exciting growth stage as a well-funded, Post Series B tech company. Strong grasp of nuances in technical talent (Software Engineers, Product...",https://www.indeed.com/rc/clk?jk=b7fbf294aaff81ad&fccid=381ca8ebf18902ba&vjs=3,N/A,,No
p_7b096f08bfa4df7c,Sales Development Representative,Dataiku,"New York, NY","In September 2017, we raised a $28M Series B led by Battery Ventures to push our products to new heights and deploy internationally....",https://www.indeed.com/rc/clk?jk=7b096f08bfa4df7c&fccid=4640437a3109c91f&vjs=3,N/A,,No
p_afe4289b9ce3d5c6,Head of Frontend Engineering,Clarifai,"New York, NY","Learn our front end tech stack. We have secured a $30M Series B round of funding and are backed by Menlo Ventures, Google Ventures, USV, NVIDIA, Qualcomm, Osage...",https://www.indeed.com/rc/clk?jk=afe4289b9ce3d5c6&fccid=0bfd6b75d98e7714&vjs=3,N/A,AI,No
p_cd5fe2a553c0aeed,Frontend Engineer,Clarifai,"New York, NY","Learn our front end tech stack. We have secured a $30M Series B round of funding and are backed by Menlo Ventures, Google Ventures, USV, NVIDIA, Qualcomm, Osage...",https://www.indeed.com/rc/clk?jk=cd5fe2a553c0aeed&fccid=0bfd6b75d98e7714&vjs=3,N/A,AI,No
p_bac941ad0ca09c7f,Senior Business Development Manager - North America,Festicket,"New York, NY",Festicket is looking for a senior business developer to join our commercial / business development team. Festicket empowers music fans with a seamless service...,https://www.indeed.com/rc/clk?jk=bac941ad0ca09c7f&fccid=1d96fcc44d6e7eb5&vjs=3,N/A,,No
p_da0f41d3289217c8,"Product Manager, Weddings",Zola,"New York, NY 10038 ","We recently raised our Series C and are proud to call Thrive Capital, Canvas Ventures, and Lightspeed Venture Partners, among others, our investors and partners...",https://www.indeed.com/rc/clk?jk=da0f41d3289217c8&fccid=d2d02c47c0db3714&vjs=3,https://www.indeed.com/cmp/Zola,"C, R, SQL",No
p_da97d8db2c1d9f8c,Senior Infrastructure Security Engineer,Clarifai,"New York, NY","We have secured a $30M Series B round of funding and are backed by Menlo Ventures, Google Ventures, USV, NVIDIA, Qualcomm, Osage, Lux Capital, LDV Capital, and...",https://www.indeed.com/rc/clk?jk=da97d8db2c1d9f8c&fccid=0bfd6b75d98e7714&vjs=3,N/A,"AI, cloud",No
p_516c8fe7d6a0b0b1,Senior Technical Recruiter,Clarifai,"New York, NY","We have secured a $30M Series B round of funding and are backed by Menlo Ventures, Google Ventures, USV, NVIDIA, Qualcomm, Osage, Lux Capital, LDV Capital, and...",https://www.indeed.com/rc/clk?jk=516c8fe7d6a0b0b1&fccid=0bfd6b75d98e7714&vjs=3,N/A,AI,No
p_82041dc3227137c7,Sales Development Representative,Clarifai,"New York, NY","We have secured a $30M Series B round of funding and are backed by Menlo Ventures, Google Ventures, USV, NVIDIA, Qualcomm, Osage, Lux Capital, LDV Capital, and...",https://www.indeed.com/rc/clk?jk=82041dc3227137c7&fccid=0bfd6b75d98e7714&vjs=3,N/A,"AI, Salesforce",No
p_ca20ab8e301c2b41,VP of Customer Services,Clarifai,"New York, NY","We have secured a $30M Series B round of funding and are backed by Menlo Ventures, Google Ventures, USV, NVIDIA, Qualcomm, Osage, Lux Capital, LDV Capital, and...",https://www.indeed.com/rc/clk?jk=ca20ab8e301c2b41&fccid=0bfd6b75d98e7714&vjs=3,N/A,AI,No
p_001a05d7fa075926,Linux Administrator,Prevalent Inc.,"Township of Warren, NJ","The company launched its first 3rd party risk management product in 2012, and recently closed a $60MM Series C round of funding with Insight Venture Partners....",https://www.indeed.com/rc/clk?jk=001a05d7fa075926&fccid=2f015181be48183a&vjs=3,N/A,"Apache, C, AWS, Linux",No
p_e1d356728580c3aa,Support Engineer - Terraform Provider,HashiCorp,"New York, NY",They will contribute to product growth and development via weekly product and marketing meetings. HashiCorp is a series C start-up in San Francisco that is best...,https://www.indeed.com/rc/clk?jk=e1d356728580c3aa&fccid=044076f542c2a482&vjs=3,N/A,"Azure, Oracle, C, cloud",No
p_06e41990973dc01c,Business Development Manager,Spot.IM,"New York, NY",Ready to sell amazing products? Strong understanding of common ad-server implementations and advertising products....,https://www.indeed.com/rc/clk?jk=06e41990973dc01c&fccid=042a47aaaace5cab&vjs=3,N/A,,Yes
p_eb2018a1c4fc3a71,Claims Analyst II,Harbor Claims,"Ambler, PA","At Harbor Claims, along with our claims analysts�۪ progressive job series, we also have a field adjusters�۪ job series....","https://www.indeed.com/company/Cabrillo-Coastal-General-Insurance-Agency,-LLC/jobs/Claim-Analyst-eb2018a1c4fc3a71?fccid=2de7c01636e03a8a&vjs=3",N/A,,No
p_8613ce38dd72e196,Strategic Success Manager,Amplitude,"New York, NY",Product Analytics Strategist - you will become a product analytics leader and you will teach your customers how to derive valuable insights from our highly...,https://www.indeed.com/rc/clk?jk=8613ce38dd72e196&fccid=62c3e5a6bf72744b&vjs=3,N/A,C,No
p_06b300cced5e0662,Commercial Insurance Manager,CoverWallet,"New York, NY 10013 ","Knowledge of the US regulatory landscape including product and rate filing processes, and the requirements for distributing insurance products....",https://www.indeed.com/rc/clk?jk=06b300cced5e0662&fccid=2d5cf31320b20a19&vjs=3,N/A,,No
p_3380f003189dd53f,Public Relations Manager (Travel Industry),TourRadar,"New York, NY",The stability and excitement of working for a fast scaling Series B funded startup. One familiarisation trip per year to experience our product along with 500...,https://www.indeed.com/company/Online-Marketing-Manager/jobs/Public-Relation-Manager-3380f003189dd53f?fccid=95706f165554aebf&vjs=3,N/A,,No
p_9c002cf0edf86f79,Offline and Retail Experience Manager,Depop,"New York, NY","We have recently raised Series B of $20M and are positioned for strong global growth, with razor sharp focus on expanding our already solid foundations in the...",https://www.indeed.com/rc/clk?jk=9c002cf0edf86f79&fccid=f33ed801df6b29a6&vjs=3,https://www.indeed.com/cmp/Depop,,No
p_df486d85d8bf2bbe,Head of Product,CareDox,"New York, NY","As a core member of the CareDox Executive Leadership Team, the Head of Product will own CareDox�۪s product development and product roadmap....",https://www.indeed.com/rc/clk?jk=df486d85d8bf2bbe&fccid=d71042643ccc7c4f&vjs=3,N/A,AI,Yes
p_475c3a0b00d332aa,"Associate Product Manager, Enigma Public",Enigma,"New York, NY","We are Series B funded, partnering with some of the best investors in the world:. The role would sit within Enigma�۪s Product team, but your background doesn�۪t...",https://www.indeed.com/rc/clk?jk=475c3a0b00d332aa&fccid=70c6841399d154a5&vjs=3,N/A,,No
p_f6701aeb4a383c2e,Software Integrations Engineer,Spot.IM,"New York, NY",Demonstrated experience in server-side JavaScript development and front-end development in HTML and CSS. Integrations Engineer - What You'll Do:....,https://www.indeed.com/rc/clk?jk=f6701aeb4a383c2e&fccid=042a47aaaace5cab&vjs=3,N/A,"R, HTML, CSS, front-end",Yes
p_6199e0fdd49e4d48,New Product Development Manager,Ipsy,"New York, NY","Ipsy is looking for a creative, strategic, and experienced New Product Development Manager to drive delight in ipsy�۪s membership experience....",https://www.indeed.com/rc/clk?jk=6199e0fdd49e4d48&fccid=ea9c117cd72a84fb&vjs=3,https://www.indeed.com/cmp/Ipsy,,No
p_f08a83b6d4823102,Product Manager (All Levels),CareDox,"New York, NY",3-8 years experience in a Product Manager role for a software SaaS company. You're a great fit for our Product Manager role if you�۪ve succeeded in challenges...,https://www.indeed.com/rc/clk?jk=f08a83b6d4823102&fccid=d71042643ccc7c4f&vjs=3,N/A,"AI, UX, SDLC",Yes
p_a4925a7bd630a6ed,Product Manager,CoverWallet,"New York, NY 10013 ",We�۪re looking for an awesome Product Manager to help us with product planning and execution throughout the product lifecycle....,https://www.indeed.com/rc/clk?jk=a4925a7bd630a6ed&fccid=2d5cf31320b20a19&vjs=3,N/A,Agile,No
p_23119e86c4036c6a,Junior Product Manager,CoverWallet,"New York, NY 10013 ",We�۪re looking for an awesome Junior Product Manager to help us with product planning and execution throughout the product lifecycle....,https://www.indeed.com/rc/clk?jk=23119e86c4036c6a&fccid=2d5cf31320b20a19&vjs=3,N/A,"Agile, Salesforce",No
p_dc55e92ca7476526,"Business Development Manager, US",ViSenze - Artificial Intelligence for the Visual W...,"New York, NY","Deep product expertise, visionary and creative, to work closely with our product team on the product vision and roadmap....",https://www.indeed.com/rc/clk?jk=dc55e92ca7476526&fccid=f947fcaac3b936c9&vjs=3,N/A,"AI, R",No
p_d2fea7e4a7fa0718,Front End Engineer,NYSHEX,"New York, NY","NYSHEX is a well funded Series A startup, developing a brand new concept that will transform and enable an industry plagued with inefficiency, volatility, and...",https://www.indeed.com/rc/clk?jk=d2fea7e4a7fa0718&fccid=130b4207c6d08124&vjs=3,N/A,"Node, Spring, Java, Postgres, SASS, LESS, Agile, Linux, REST, HTML, UI, MySQL, Angular, CSS, relational databases, relational database, front-end",No
p_b144e0d88ffd9065,Director Of Customer Success,Synup,"New York, NY 10036","Synup raised a $6M Series A round of funding during September 2017, headed by Vertex Ventures and Prime VP. We are looking for Account Managers with a strong...",https://www.indeed.com/rc/clk?jk=b144e0d88ffd9065&fccid=ff2a2ae79c65c4b0&vjs=3,N/A,,No
p_74e8d25953d46f2d,Full Stack Engineer,NYSHEX,"New York, NY","As a Full Stack Engineer, a typical day might include the following:. 3-5 years of full stack experience building and maintaining distributed, multi-threaded...",https://www.indeed.com/rc/clk?jk=74e8d25953d46f2d&fccid=130b4207c6d08124&vjs=3,N/A,"Python, Selenium, Linux, AWS, DevOps, REST, Perl, HTML, UI, MySQL, Docker, Java8, CSS",No
p_5f57a40a4f0e81ee,"Hands-on Technical Director - Platform, Data Management Architect, ML, NoSQL","SearchTech Consulting, Inc","Palo Alto, CA",The company has interest from a number of notable Venture Capital firms and is currently closing in on a Series A financing of several million dollars....,https://www.indeed.com/rc/clk?jk=5f57a40a4f0e81ee&fccid=17fe03160c985fb5&vjs=3,N/A,"Java, Postgres, NoSQL, AI, Agile, Python, HTML, UI, SQL, ML, CSS",No
